"script_name","run_time","red","green","blue","x_coordinate","y_coordinate","finished"
"xlib-color.py",0.507831573486,74,74,73,2319,1004,1515976748.922209
"xlib-color.py",0.463008880615,45,42,46,655,1144,1515976749.054912
"xlib-color.py",0.414133071899,20,21,22,2781,1245,1515976749.195598
"xlib-color.py",0.387191772461,20,21,22,1946,1281,1515976749.359677
"xlib-color.py",0.34499168396,45,42,46,1620,652,1515976749.532424
"xlib-color.py",0.448942184448,45,42,46,1088,783,1515976749.707489
"xlib-color.py",0.380992889404,34,31,34,105,733,1515976749.882194
"xlib-color.py",0.371932983398,20,21,22,2521,1314,1515976750.053204
"xlib-color.py",0.379085540771,20,21,22,2285,638,1515976750.189616
"xlib-color.py",0.449180603027,45,42,46,1802,957,1515976750.322328
"xlib-color.py",0.346899032593,45,42,46,1122,1087,1515976750.495286
"xlib-color.py",0.41103363037100005,20,21,22,2873,433,1515976750.633942
"xlib-color.py",0.380992889404,45,42,46,1569,759,1515976750.803369
"xlib-color.py",0.460147857666,45,42,46,1702,630,1515976750.976938
"xlib-color.py",0.36907196044900004,20,21,22,2752,1298,1515976751.137698
"xlib-color.py",0.43201446533200005,45,42,46,1444,946,1515976751.313825
"xlib-color.py",0.46801567077600004,45,42,46,791,1365,1515976751.452451
"xlib-color.py",0.434875488281,34,31,34,70,502,1515976751.612003
"xlib-color.py",0.418901443481,34,31,34,122,818,1515976751.787262
"xlib-color.py",0.37407875061,45,42,46,1537,792,1515976751.959594
"xlib-color.py",0.34594535827600004,45,42,46,1361,743,1515976752.132158
"xlib-color.py",0.367879867554,45,42,46,1055,830,1515976752.132295
"pyautogui-pixel-color.py",280.269861221,45,42,46,803,610,1515976758.020444
"pyautogui-pixel-color.py",280.011177063,20,21,22,2777,1033,1515976758.45474
"pyautogui-pixel-color.py",278.725147247,45,42,46,1049,1265,1515976758.919237
"pyautogui-pixel-color.py",278.772115707,20,21,22,2231,760,1515976759.344583
"pyautogui-pixel-color.py",279.06489372299995,148,148,144,2799,1254,1515976759.770388
"pyautogui-pixel-color.py",279.338121414,45,42,46,1080,508,1515976760.235352
"pyautogui-pixel-color.py",279.752969742,20,21,22,2859,938,1515976760.695949
"pyautogui-pixel-color.py",279.359102249,45,42,46,1537,704,1515976761.155274
"pyautogui-pixel-color.py",278.42712402300003,45,42,46,274,1339,1515976761.585079
"pyautogui-pixel-color.py",279.203176498,20,21,22,2694,1132,1515976762.049471
"pyautogui-pixel-color.py",284.829139709,45,42,46,1236,1082,1515976762.512243
"pyautogui-pixel-color.py",280.662059784,20,21,22,2372,978,1515976762.971749
"pyautogui-pixel-color.py",279.111146927,62,60,63,1796,937,1515976763.400611
"pyautogui-pixel-color.py",279.006958008,20,21,22,2637,1109,1515976763.861525
"pyautogui-pixel-color.py",278.903961182,45,42,46,205,1185,1515976764.320752
"pyautogui-pixel-color.py",279.085159302,45,42,46,789,882,1515976764.757299
"pyautogui-pixel-color.py",279.02102470399996,20,21,22,2038,440,1515976765.217734
"pyautogui-pixel-color.py",279.693126678,20,21,22,2889,589,1515976765.643635
"pyautogui-pixel-color.py",279.562950134,20,21,22,2085,1318,1515976766.101391
"pyautogui-pixel-color.py",278.839826584,45,42,46,830,944,1515976766.560817
"pyautogui-pixel-color.py",279.00600433299996,45,42,46,1378,860,1515976766.992714
"pyautogui-pixel-color.py",279.45685386699995,34,31,34,67,498,1515976767.422865
"pyautogui-pixel-color.py",278.79190444899996,20,21,22,2388,566,1515976767.882062
"pyautogui-pixel-color.py",280.034065247,45,42,46,342,645,1515976768.349494
"pyautogui-pixel-color.py",282.72199630700004,20,21,22,2351,890,1515976768.804499
"pyautogui-pixel-color.py",281.044960022,45,42,46,198,1189,1515976769.267701
"pyautogui-pixel-color.py",280.224084854,45,42,46,1691,1163,1515976769.697014
"pyautogui-pixel-color.py",282.24706649800004,20,21,22,2470,834,1515976770.157646
"pyautogui-pixel-color.py",278.83601188700004,45,42,46,1383,1186,1515976770.618548
"pyautogui-pixel-color.py",280.968904495,20,21,22,2912,517,1515976771.079835
"pyautogui-pixel-color.py",278.713941574,45,42,46,1467,539,1515976771.54717
"pyautogui-pixel-color.py",281.99601173400004,45,42,46,908,1244,1515976772.006866
"pyautogui-pixel-color.py",280.144929886,45,42,46,1240,753,1515976772.466293
"pyautogui-pixel-color.py",279.37412262,45,42,46,1669,1353,1515976772.915295
"pyautogui-pixel-color.py",277.843952179,34,31,34,242,891,1515976773.345914
"pyautogui-pixel-color.py",279.185056686,45,42,46,1856,1389,1515976773.770606
"pyautogui-pixel-color.py",278.38206291200004,45,42,46,1649,1162,1515976774.231673
"pyautogui-pixel-color.py",279.32882309,20,21,22,2689,934,1515976774.694102
"pyautogui-pixel-color.py",281.862974167,45,42,46,1643,639,1515976775.167755
"pyautogui-pixel-color.py",280.13610839800003,47,52,63,265,453,1515976775.593261
"pyautogui-pixel-color.py",279.746055603,34,31,34,183,523,1515976776.054859
